Date,Operator,Registration,AirType,Locations,aboard,fatalities,groudfatalities
17-Sep-08,"Military - U.S. Army",?,"Wright Flyer III","Fort Myer, Virginia",2,1,0
07-Sep-09,"?",SC1,"Wright Byplane","Juvisy-sur-Orge, France",1,1,0
12-Jul-12,"Military - U.S. Navy",?,"Dirigible","Atlantic City, New Jersey",5,5,0
06-Aug-13,"Private",?,"Curtiss seaplane","Victoria, British Columbia, Canada",1,1,0
09-Sep-13,"Military - German Navy",?,"Zeppelin L-1 (airship)","Over the North Sea",20,14,0
17-Oct-13,"Military - German Navy",?,"Zeppelin L-2 (airship)","Near Johannisthal, Germany",30,30,0
05-Mar-15,"Military - German Navy",?,"Zeppelin L-8 (airship)","Tienen, Belgium",41,21,0
03-Sep-15,"Military - German Navy",?,"Zeppelin L-10 (airship)","Off Cuxhaven, Germany",19,19,0
28-Jul-16,"Military - German Army",?,"Schutte-Lanz S-L-10 (airship)","Near Jambol, Bulgeria",20,20,0
24-Sep-16,"Military - German Navy",?,"Zeppelin L-32 (airship)","Billericay, England",22,22,0
01-Oct-16,"Military - German Navy",?,"Zeppelin L-31 (airship)","Potters Bar, England",19,19,0
21-Nov-16,"Military - German Army",?,"Super Zeppelin (airship)","Mainz, Germany",28,27,0
28-Nov-16,"Military - German Navy",?,"Zeppelin L-34 (airship)","Off West Hartlepool, England",20,20,0
04-Mar-17,"Military - German Army",?,"Airship","Near Gent, Belgium",20,20,0
30-Mar-17,"Military - German Navy",?,"Schutte-Lanz S-L-9 (airship)","Off Northern Germany",23,23,0
14-May-17,"Military - German Navy",?,"Zeppelin L-22 (airship)","Near Texel Island, North Sea",21,21,0
14-Jun-17,"Military - German Navy",?,"Zeppelin L-43 (airship)","Off Vlieland Island, North Sea",24,24,0
17-Jun-17,"?",L-48,"Zepplin LZ-95 (air ship)","Near Yarmouth, England",16,14,0
21-Aug-17,"Military - German Navy",?,"Zeppelin L-23 (airship)","Off western Denmark",18,18,0
20-Oct-17,"Military - German Navy",?,"Zeppelin L-44 (airship)","Near Luneville, France",18,18,0
07-Apr-18,"Military - German Navy",?,"Zeppelin L-59 (airship)","Over the Mediterranean",23,23,0
10-May-18,"Military - German Navy",?,"Zeppelin L-70 (airship)","Off Helgoland Island, Germany",22,22,0
11-Aug-18,"Military - German Navy",?,"Zeppelin L-53 (airship)","Ameland Island, North Sea",19,19,0
16-Dec-18,"US Aerial Mail Service",97,"De Havilland DH-4","Elizabeth, New Jersey",1,1,0
25-May-19,"US Aerial Mail Service",61,"De Havilland DH-4","Cleveland, Ohio",1,1,0
19-Jul-19,"US Aerial Mail Service",82,"De Havilland DH-4","Dix Run, Pennsylvania",1,1,0
02-Aug-19,"Caproni Company",?,"Caproni Ca.48","Verona, Italy",14,14,0
02-Oct-19,"Aircraft Transport and Travel",?,"De Havilland DH-4","Newcastle, England",1,1,0
14-Oct-19,"US Aerial Mail Service",32,"Curtiss R-4LM","Cantonsville, Maryland",1,1,0
20-Oct-19,"Aircraft Transport and Travel",G-EAHG,"De Havilland DH-4","English Channel off Forkstone, Kent",0,0,0
30-Oct-19,"US Aerial Mail Service",77,"De Havilland DH.4","Long Valley, New Jersey",1,1,0
11-Dec-19,"Aircraft Travel Transport",G-EAHF,"de Havilland DH-4","Catherham, Surrey, UK",1,1,0
10-Mar-20,"US Aerial Mail Service",65,"De Havilland DH-4","New Paris, Indiana",1,1,0
30-Mar-20,"US Aerial Mail Service",72,"De Havilland DH-4","Newark, New Jersey",1,1,0
10-Apr-20,"US Aerial Mail Service",49,"Curtiss R-4LM","Newark, New Jersey",2,1,0
11-Apr-20,"US Aerial Mail Service",44,"Curtiss JN-4H","Heller Field, New Jersey",2,1,0
12-May-20,"US Aerial Mail Service",79,"De Havilland DH-4","Oskaloosa, Iowa",2,1,0
06-Jun-20,"US Aerial Mail Service",204,"De Havilland DH-4","Cleveland, Ohio",1,1,0
20-Jun-20,"Compa¤ia Colombiana de Navegaci¢n A‚rea",?,"Farman F-40","Cartagena, Columbia",1,1,0
16-Aug-20,"By Air",G-EALW,"Armstrong-Whitworth F-K-8","Bedford, England",1,1,0
16-Aug-20,"US Aerial Mail Service",317,"De Havilland DH-4","College Park, Maryland",1,1,0
01-Sep-20,"US Aerial Mail Service",305,"Junkers JL-6","Morristown, New Jersey",2,2,0
15-Sep-20,"US Aerial Mail Service",308,"Junkers F-13","Pemberville, Ohio",2,2,0
27-Sep-20,"US Aerial Mail Service",316,"De Havilland DH-4","Hillersburg, Pennsylvania",1,1,0
02-Oct-20,"Latecoere Airlines",F-ALAI,"Salmson 2-A-2","Off Port Vendres, France",2,2,0
